ID,Species-Id-Mets-Score,Species-Id-Mets-Rank,Species-All-Mets-Score,Species-All-Mets-Rank,Enzymes-Id-Mets-Score,Enzymes-Id-Mets-Rank,Enzymes-All-Mets-Score,Enzymes-All-Mets-Rank
lithocholate,0.45,65,0.27,1788,0.87,1,0.51,75
urobilin,0.86,2,0.55,33,0.66,4,0.42,325
hydrocinnamic acid,0.71,3,0.4,220,0.71,2,0.48,131
undecanedionate,0.52,22,0.3,1051,0.7,3,0.46,176
Oxazinanes,,,0.47,69,,,0.68,4
urobilin*,0.63,6,0.44,112,0.64,8,0.41,338
3-methyladipate-pimelate,0.58,9,0.45,93,0.65,7,0.49,113
5alpha-cholestanol,0.63,7,0.36,429,0.38,325,0.24,5060
C18-neg-Cluster-0634,,,0.64,9,,,0.34,1519
alpha-hydroxybutyrate,0.41,95,0.27,1777,0.64,9,0.41,339
lactate,0.46,56,0.25,2305,0.61,11,0.46,181
pseudouridine,0.57,11,0.35,477,0.32,1018,0.18,9141
HILIC-pos-Cluster-2199,,,0.48,63,,,0.63,12
HILIC-pos-Cluster-0765,,,0.61,13,,,0.35,1243
C20:4 carnitine,0.44,73,0.25,2261,0.61,13,0.41,334
